Date,Name,Year,Letterboxd URI,Rating
2024-04-26,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2024-04-26,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,5
2024-04-26,Home Alone,1990,https://boxd.it/29Fg,5
2024-04-26,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,5
2024-04-26,Hellraiser,1987,https://boxd.it/1Zpi,5
2024-04-26,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,5
2024-04-26,Dragon Ball Super: Broly,2018,https://boxd.it/iaWE,5
2024-04-26,Dragonball Evolution,2009,https://boxd.it/1ODy,0.5
2024-04-26,Tucker and Dale vs. Evil,2010,https://boxd.it/Mce,5
2024-04-26,Bill & Ted's Bogus Journey,1991,https://boxd.it/28oy,5
2024-04-26,Airplane!,1980,https://boxd.it/29yu,5
2024-04-26,Spaceballs,1987,https://boxd.it/29cy,5
2024-04-26,Blazing Saddles,1974,https://boxd.it/1UHQ,5
2024-04-26,Superhero Movie,2008,https://boxd.it/1SM0,5
2024-04-26,Dawn of the Dead,1978,https://boxd.it/29gU,5
2024-04-26,Day of the Dead,1985,https://boxd.it/20dM,5
2024-04-26,Shaun of the Dead,2004,https://boxd.it/29J8,5
2024-04-26,Dio: Dreamers Never Die,2022,https://boxd.it/zegm,5
2024-04-26,The Truman Show,1998,https://boxd.it/18U8,5
2024-04-26,The Mask,1994,https://boxd.it/29rS,5
2024-04-26,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,5
2024-04-26,Ace Ventura: When Nature Calls,1995,https://boxd.it/1Z66,5
2024-04-26,Beetlejuice,1988,https://boxd.it/24QI,5
2024-04-26,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5
2024-04-26,The Evil Dead,1981,https://boxd.it/29Go,5
2024-04-26,Army of Darkness,1992,https://boxd.it/29G4,5
2024-04-26,Evil Dead II,1987,https://boxd.it/29Ge,5
2024-04-26,The Thing,1982,https://boxd.it/294O,5
2024-04-26,Clue,1985,https://boxd.it/1MDQ,4.5
2024-04-26,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,5
2024-04-26,Austin Powers: International Man of Mystery,1997,https://boxd.it/29y0,5
2024-04-26,Wayne's World,1992,https://boxd.it/1ZHG,5
2024-04-26,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/29xQ,5
2024-04-26,Austin Powers in Goldmember,2002,https://boxd.it/29xG,5
2024-04-26,Wayne's World 2,1993,https://boxd.it/1ZHw,5
2024-04-26,Back to the Future,1985,https://boxd.it/2b8e,5
2024-04-26,Back to the Future Part II,1989,https://boxd.it/2aYI,5
2024-04-26,Back to the Future Part III,1990,https://boxd.it/2aTS,5
2024-04-26,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-04-26,The Terminator,1984,https://boxd.it/2aQY,5
2024-04-26,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,5
2024-04-26,They Live,1988,https://boxd.it/20lm,5
2024-04-26,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,0.5
2024-04-27,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,https://boxd.it/1VQa,5
2024-09-18,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,5
2024-11-13,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2024-11-13,Arsenic and Old Lace,1944,https://boxd.it/2aRW,4
2025-05-06,Harakiri,1962,https://boxd.it/1NTU,5
2025-12-17,Trading Places,1983,https://boxd.it/28sK,5
2026-01-31,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,https://boxd.it/1b0i,5
2026-02-11,Rushmore,1998,https://boxd.it/1TAO,5
